USA,Japan,Model_Year
18,24,2016
15,27,2016
18,27,2016
16,25,2016
17,31,2016
15,35,2016
14,24,2016
14,19,2016
14,28,2016
15,23,2016
15,27,2016
14,20,2016
15,22,2016
14,18,2016
22,20,2016
18,31,2016
21,32,2016
21,31,2016
10,32,2016
10,24,2016
11,26,2016
9,29,2016
28,24,2016
25,24,2016
19,33,2016
16,33,2016
17,32,2016
19,28,2016
18,19,2016
14,32,2016
14,34,2016
14,26,2016
14,30,2017
12,22,2017
13,22,2017
13,33,2017
18,39,2017
22,36,2017
19,28,2017
18,27,2017
23,21,2017
26,24,2017
25,30,2017
20,34,2017
21,32,2017
13,38,2017
14,37,2017
15,30,2017
14,31,2017
17,37,2017
11,32,2017
13,47,2017
12,41,2017
13,45,2017
15,34,2017
13,33,2017
13,24,2017
14,32,2018
22,39,2018
28,35,2018
13,32,2018
14,37,2018
13,38,2018
14,34,2018
15,34,2018
12,32,2018
13,33,2018
13,32,2018
14,25,2018
13,24,2018
12,37,2018
13,31,2018
18,36,2018
16,36,2018
18,34,2018
18,38,2018
23,32,2018
11,38,2018
12,32,2018
13,NA,2018
12,NA,2018
18,NA,2018
21,NA,2018
19,NA,2018
21,NA,2018
